qza_id,meta_id
Cooks_21,cooks-1_21
LTER 3BR_22,LTER3BACK_22
LTER 3FR_22,LTER3FRINGE_22
LTER 4BR_22,LTER4BACK_22
LTER 6FR_21,lter6f_21
LTER 6FR_22,LTER6FRINGE_22
LTER3BR_23,LTER 3 BACK_23
LTERBR_21,lter3b_21
NC2_22,NegativeControl2-NC2_22
NC4_22,NegativeControl4-NC4_22
OPU 1_21,OPU-1_21
OPU 1_22,OPU1_22
OPU 2_21,OPU-2_21
OPU 2_22,OPU2_22
